"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to check whether the user entered product quantites reflect in the cart","18078","productQuantityTest","EcomTestSuite","Tue Jul 15 13:21:55 IST 2025","passed","Tue Jul 15 13:22:13 IST 2025","org.ats.ecom_testing.tests.ProductQuantityInCartTest","SmokeTests","org.ats.ecom_testing.tests.ProductQuantityInCartTest","productQuantityTest"
"Test to check whether the user can subscribe to the email service from the cart page successfully.","5100","subscriptionTest","EcomTestSuite","Tue Jul 15 13:03:06 IST 2025","passed","Tue Jul 15 13:03:11 IST 2025","org.ats.ecom_testing.tests.SubscriptionTestInCart","non_critical","org.ats.ecom_testing.tests.SubscriptionTestInCart","subscriptionTest"
"Test to check whether the all products page has all products visible. Also whether the product details are visible.","17064","allProductsTest","Default suite","Mon Jul 14 14:45:19 IST 2025","passed","Mon Jul 14 14:45:36 IST 2025","org.ats.ecom_testing.tests.AllProductsTest","Default test","org.ats.ecom_testing.tests.AllProductsTest","allProductsTest"
"Test to check whether the user can subscribe to the email service successfully.","8956","subscriptionTest","EcomTestSuite","Tue Jul 15 13:03:02 IST 2025","passed","Tue Jul 15 13:03:11 IST 2025","org.ats.ecom_testing.tests.SubscriptionTest","non_critical","org.ats.ecom_testing.tests.SubscriptionTest","subscriptionTest"
"Test to check whether the user can register with the website successfully.","59660","registerNewUserTest","EcomTestSuite","Tue Jul 15 13:21:21 IST 2025","passed","Tue Jul 15 13:22:21 IST 2025","org.ats.ecom_testing.tests.RegisterUserTest","SmokeTests","org.ats.ecom_testing.tests.RegisterUserTest","registerNewUserTest"
"Test to chech whether reviews can be added for the products correctly","46628","addReviewTest","EcomTestSuite","Tue Jul 15 13:04:07 IST 2025","passed","Tue Jul 15 13:04:54 IST 2025","org.ats.ecom_testing.tests.AddReviewTest","productTests","org.ats.ecom_testing.tests.AddReviewTest","addReviewTest"
"Test to check whether the user can logout from thw website successfully.","11404","logoutSuccessfully","Default suite","Mon Jul 14 18:47:53 IST 2025","passed","Mon Jul 14 18:48:04 IST 2025","org.ats.ecom_testing.tests.LogoutSuccessTest","Default test","org.ats.ecom_testing.tests.LogoutSuccessTest","logoutSuccessfully"
"Test for checking whether user can login with the correct credentials.","47274","loginWithCorrectCredentials","EcomTestSuite","Tue Jul 15 13:21:21 IST 2025","passed","Tue Jul 15 13:22:09 IST 2025","org.ats.ecom_testing.tests.LoginWithCorrectCreds","SmokeTests","org.ats.ecom_testing.tests.LoginWithCorrectCreds","loginWithCorrectCredentials"
"Test to check whether the user can register with an already existing email id, successfully.","27566","registerUserWithExistingEmail","EcomTestSuite","Tue Jul 15 13:00:41 IST 2025","passed","Tue Jul 15 13:01:08 IST 2025","org.ats.ecom_testing.tests.RegisterUserWithExistingEmail","AccountTests","org.ats.ecom_testing.tests.RegisterUserWithExistingEmail","registerUserWithExistingEmail"
"Test to check whether the user can scroll up with the arrow button successfully.","15897","scrollArrowTest","EcomTestSuite","Tue Jul 15 13:03:06 IST 2025","passed","Tue Jul 15 13:03:22 IST 2025","org.ats.ecom_testing.tests.ScrollArrowButtonTest","non_critical","org.ats.ecom_testing.tests.ScrollArrowButtonTest","scrollArrowTest"
"Test to check whether the user can logout from thw website successfully.","18387","logoutSuccessfully","EcomTestSuite","Tue Jul 15 13:22:20 IST 2025","passed","Tue Jul 15 13:22:39 IST 2025","org.ats.ecom_testing.tests.LogoutSuccessTest","SmokeTests","org.ats.ecom_testing.tests.LogoutSuccessTest","logoutSuccessfully"
